id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
115119,44876,"$ATOMUSDT

SHORT

RR : 2

LEVERAGE : 10x

ENTRY : ...1️⃣ 1.926
2️⃣ 1.823

STOPLOSS : 2.138

💎GO PREMIUM",4fc325925591a10f536f907b2eafaee7,2026-01-01T16:44:23+00:00,2026-01-02T14:36:11.410930+00:00,197,t.me/CryptoHeaven
124285,45096,"$EVAAUSDT

SHORT

RR : 3

LEVERAGE : 20x

ENTRY : ...256
2️⃣ 1.262840

STOPLOSS : 1.376431

💎GO PREMIUM",aa9a69db1c79848ab14056aa8faae809,2026-01-06T10:45:50+00:00,2026-01-07T00:29:29.390902+00:00,197,t.me/CryptoHeaven
119334,45022,"💫 #DOGE/𝗨𝗦𝗗𝗧 💫  #𝗟𝗢𝗡𝗚 - 𝟯𝘅 𝘁𝗼 𝟭𝟬𝘅 
𝗘𝗻𝘁𝗿𝘆        : ... 30members allow👇💰

https://t.me/+rhLeoB7MMpZkZDRk",1132bedeb96260c985f7550d02f13c83,2026-01-04T17:17:05+00:00,2026-01-04T18:50:13.363205+00:00,197,t.me/CryptoHeaven
119342,44991,"$STGUSDT

SHORT

RR : 2

LEVERAGE : 40x

ENTRY : 0... 0.1142
2️⃣ 0.1125

STOPLOSS : 0.1174

💎GO PREMIUM",1e177acc6506105ab4d00f55dc81e723,2026-01-04T02:32:32+00:00,2026-01-04T18:50:13.574182+00:00,197,t.me/CryptoHeaven
127105,45196,"SUSHI/USDT

TYPE - LONG 🟢

ENTRY - **

TARGET - **...all details here 🤑

https://t.me/+kw_ATFhLcOYwMTU1",17ab4debcda44280fb1c50bc6c18d7b3,2026-01-08T14:33:19+00:00,2026-01-08T15:38:26.136890+00:00,197,t.me/CryptoHeaven
127109,45171,"$ZILUSDT

SHORT

RR : 2

LEVERAGE : 15x

ENTRY : 0...099
2️⃣ 0.004914

STOPLOSS : 0.005474

💎GO PREMIUM",2c7c6e2a7156b4f3291699a320a6d612,2026-01-08T04:09:16+00:00,2026-01-08T15:38:26.225997+00:00,197,t.me/CryptoHeaven
130234,45245,"$MANAUSDT

LONG

RR : 2

LEVERAGE : 20x

ENTRY : 0... 0.1447
2️⃣ 0.1484

STOPLOSS : 0.1375

💎GO PREMIUM",e081c20c761542c387319fdcf6e6873f,2026-01-09T15:14:58+00:00,2026-01-09T19:29:31.541935+00:00,197,t.me/CryptoHeaven
130257,45215,"$BREVUSDT

SHORT

RR : 2

LEVERAGE : 12x

ENTRY : ... 0.3660
2️⃣ 0.3488

STOPLOSS : 0.3996

💎GO PREMIUM",68f0b8ee0e361233cd3a57a2d8c96765,2026-01-09T02:24:18+00:00,2026-01-09T19:29:31.682147+00:00,197,t.me/CryptoHeaven
131853,45286,"$ETCUSDT

LONG

RR : 3

LEVERAGE : 25x

ENTRY : 12... 12.959
2️⃣ 13.473

STOPLOSS : 12.448

💎GO PREMIUM",8b86d862028419f921fd059bc5fd4c03,2026-01-10T15:13:26+00:00,2026-01-11T01:38:23.901155+00:00,197,t.me/CryptoHeaven
133890,45317,"$PIPPINUSDT

SHORT

RR : 2

LEVERAGE : 36x

ENTRY ...33524
2️⃣ 0.33049

STOPLOSS : 0.34480

💎GO PREMIUM",df13f5ec38b40020ddb33dda646fa2ce,2026-01-11T12:30:26+00:00,2026-01-12T06:03:25.811942+00:00,197,t.me/CryptoHeaven
