id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
28328,15839,"LINK and SOL are really pleasing, the rest are aro...huge profits – get ready ☺️

Yours, Crypto Capital",60ece27a7237096ae41d77b8b06e82a3,2025-11-23T12:43:51+00:00,2025-11-23T17:22:06.019827+00:00,184,t.me/cryptocapitalgl
28325,15838,"#INTRO

Work at INTRO is in full swing even on the...at INTRO are making money 😊

Yours, Crypto Capital",eceebdc8915ee17f14b35fbeb6c33028,2025-11-23T12:42:19+00:00,2025-11-23T17:22:05.981907+00:00,184,t.me/cryptocapitalgl
30230,15860,"​🔈I'm taking on a few individuals for individual t...apfeedback

🔊 For any questions: 
@alexcapitalgl 👈",00afef7a6ae673d9a644a93d3d06fd39,2025-11-24T16:09:13+00:00,2025-11-24T17:37:14.448818+00:00,184,t.me/cryptocapitalgl
30232,15853,"Well, the start of the week in personal trading is...show the results of other guys in the post below 👇",183ac926e762a0a2f13021a0d4bea7c7,2025-11-24T15:53:35+00:00,2025-11-24T17:37:14.741789+00:00,184,t.me/cryptocapitalgl
30233,15852,The market is way too boring – there’s no volatility at all…,3fca25880092cef364d508098e925a73,2025-11-24T15:33:00+00:00,2025-11-24T17:37:14.858032+00:00,184,t.me/cryptocapitalgl
30234,15850,"#INTRO

Work in full swing 😊

Yours, Crypto Capital",f213ba7a2a5163ec8d7b405e9b20d677,2025-11-24T12:57:17+00:00,2025-11-24T17:37:15.153412+00:00,184,t.me/cryptocapitalgl
30235,15849,Ethereum is moving exactly according to yesterday’s plan – no changes.,baeefb54016b317f855af311b4cf4c69,2025-11-24T11:55:36+00:00,2025-11-24T17:37:15.249590+00:00,184,t.me/cryptocapitalgl
30236,15848,"#ETHUSDT 

https://tradingview.com/x/V7lUhgVC",97e3d260687eabda7aae8ac97ff634c4,2025-11-24T11:55:04+00:00,2025-11-24T17:37:15.380516+00:00,184,t.me/cryptocapitalgl
30238,15847,"According to the local plan for Bitcoin, I’ll be e... $84,500, followed by a rise into the $90,000 zone",f048792d0206efa7aaa33e771db0d1a9,2025-11-24T11:53:44+00:00,2025-11-24T17:37:15.704750+00:00,184,t.me/cryptocapitalgl
30237,15846,"#BTCUSDT 

https://tradingview.com/x/pwU963qu",d739da73eb0c0dda7c617f20e8678706,2025-11-24T11:53:16+00:00,2025-11-24T17:37:15.695658+00:00,184,t.me/cryptocapitalgl
30239,15845,"I just left the gym, now I'm going to sit down and write some reviews 📊",01cdc37219580aa8bb7c4ca74dc6541b,2025-11-24T10:33:31+00:00,2025-11-24T17:37:15.867635+00:00,184,t.me/cryptocapitalgl
30243,15844,Ready to start a new work week ⁉️,1c56124d9325e5e05b6ee9884ab07938,2025-11-24T08:33:15+00:00,2025-11-24T17:37:16.234662+00:00,184,t.me/cryptocapitalgl
30244,15843,Good morning everyone ☀️,bb7645345162b03b9b0b2acb9469dc36,2025-11-24T08:33:06+00:00,2025-11-24T17:37:16.245811+00:00,184,t.me/cryptocapitalgl
30241,15842,"The CME market has opened, and I think tomorrow we...gap on Bitcoin and Ethereum

Yours, Crypto Capital",a2b91c2286600806577ac81145cb5657,2025-11-23T23:23:16+00:00,2025-11-24T17:37:16.166744+00:00,184,t.me/cryptocapitalgl
