id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
28298,13967,"🔤🔤🔤🔤🔤 #CTSI/USDT 📌

All Traget 1️⃣2️⃣3️⃣4️⃣ Done ✅...EMIUM SIGNAL UPDATE 🔥

Contact VIP ☎️ - @Mr_CSFT ✅",6444316ea88ab81a8673909ce93f2879,2025-11-23T13:35:50+00:00,2025-11-23T17:22:01.112169+00:00,189,t.me/cryptospotandfuturetrading
28300,13966,"So guys, don't miss the VIP signal Channel ✅

VIP ... with 100% accuracy. 🤑💯

Contact VIP ☎️ @Mr_CSFT ✅",f01bb24f33149feb32edd64ed3205e57,2025-11-23T09:58:12+00:00,2025-11-23T17:22:01.127208+00:00,189,t.me/cryptospotandfuturetrading
28302,13965,"🔤🔤🔤🔤🔤 #AWE/USDT 📌

All Traget 1️⃣2️⃣3️⃣4️⃣ Done ✅
...EMIUM SIGNAL UPDATE 🔥

Contact VIP ☎️ - @Mr_CSFT ✅",288fdf5327ab056acfb66b0feed3b7b4,2025-11-23T09:57:13+00:00,2025-11-23T17:22:01.134467+00:00,189,t.me/cryptospotandfuturetrading
28305,13964,"#1000RATS/USDT 📌 

#FREE_SIGNAL_PROFIT 😎🔥
Today Fr...n VIP😉😌😍🥰Get More Signals 
CONTACT ☎️ : @Mr_CSFT 💠",11d76666ed472611b58e3291bc474d35,2025-11-23T06:08:04+00:00,2025-11-23T17:22:01.186763+00:00,189,t.me/cryptospotandfuturetrading
28299,13963,"Here is a #FREE Signal for Everyone 😎
#Accuracy_Checking_Signal 🚀",571c26d43020717ccbdfb7c73fa4da36,2025-11-23T04:15:37+00:00,2025-11-23T17:22:01.125246+00:00,189,t.me/cryptospotandfuturetrading
30124,13973,"#YB/USDT 📌

#FREE_SIGNAL_PROFIT 😎🔥
Today Free Sign...oin VIP😉😌😍🥰Get More Signals 
CONTACT ☎️ : @Mr_CSFT",5f2887b57d7fa5bae6a26be228187be3,2025-11-24T09:20:15+00:00,2025-11-24T17:37:06.401646+00:00,189,t.me/cryptospotandfuturetrading
30128,13972,"Here is a #FREE Signal for Everyone 😎
#Accuracy_Checking_Signal 🚀",571c26d43020717ccbdfb7c73fa4da36,2025-11-24T08:57:47+00:00,2025-11-24T17:37:06.425944+00:00,189,t.me/cryptospotandfuturetrading
30126,13971,"⭕ 🚀🚀🚀

#YB/USDT

Entry : 0.4462 - 0.4349

Targets ...ross )

Join Premium Get More Signals 
☎️ @Mr_CSFT",75adec7496cf855eb3df38f3a095a9ce,2025-11-24T08:57:38+00:00,2025-11-24T17:37:06.409574+00:00,189,t.me/cryptospotandfuturetrading
30129,13970,"So guys, don't miss the VIP signal Channel ✅

VIP ... with 100% accuracy. 🤑💯

Contact VIP ☎️ @Mr_CSFT ✅",f01bb24f33149feb32edd64ed3205e57,2025-11-24T06:45:16+00:00,2025-11-24T17:37:06.449723+00:00,189,t.me/cryptospotandfuturetrading
30130,13969,"🔤🔤🔤🔤🔤 #XAI/USDT 📌

All Traget 1️⃣2️⃣3️⃣4️⃣ Done ✅
...EMIUM SIGNAL UPDATE 🔥

Contact VIP ☎️ - @Mr_CSFT ✅",d6f08928e16765f07b9e48f152468ad9,2025-11-24T06:45:05+00:00,2025-11-24T17:37:06.655457+00:00,189,t.me/cryptospotandfuturetrading
