id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
24707,27500,Long #PIXEL 10x lev at $0.01485 ↗️,14442b31fa30218061293a34ea790e12,2025-11-21T04:52:23+00:00,2025-11-21T16:04:56.937480+00:00,165,t.me/BCUSAReal
24708,27498,#GRASS +130% profit from my call 💸💸💸,a3ec87d6b0de7853b51f4a27ab047d26,2025-11-21T03:14:14+00:00,2025-11-21T16:04:56.951722+00:00,165,t.me/BCUSAReal
24710,27497,Short #GRASS round 2 at $0.575 📉,eb6c350ba9c0bca5e487fc86ce9324f0,2025-11-20T17:15:02+00:00,2025-11-21T16:04:56.968063+00:00,165,t.me/BCUSAReal
24706,27496,#TRUTH short update +90% profit in few hours 💸💸💸,ac0ea6dfe6d49cfed4b29dd3203be1ce,2025-11-20T17:09:51+00:00,2025-11-21T16:04:56.938477+00:00,165,t.me/BCUSAReal
24704,27495,Just wanna tell you tomorrow is Friday .,7f7caf8b84f1517e1703f021abb9b1db,2025-11-20T15:55:26+00:00,2025-11-21T16:04:56.932380+00:00,165,t.me/BCUSAReal
26907,27502,"$74,000/BTC 👀",46810ff8f665676421bfa93efdae5639,2025-11-22T05:03:33+00:00,2025-11-22T18:05:29.954605+00:00,165,t.me/BCUSAReal
28384,27527,Closed #TST breakeven .,3ba54725fca26f2fc584e2ba6579cbf9,2025-11-23T16:56:01+00:00,2025-11-23T17:22:10.887858+00:00,165,t.me/BCUSAReal
28389,27526,#TST 1 mins chart ↗️,2a699f55a8561a7a0e4a43f524eab959,2025-11-23T16:29:41+00:00,2025-11-23T17:22:10.977978+00:00,165,t.me/BCUSAReal
28388,27525,Long #TST 10x lev at $0.0152 ↗️,17014a50e8dd3b378a0cc598ac01b925,2025-11-23T16:13:33+00:00,2025-11-23T17:22:10.963677+00:00,165,t.me/BCUSAReal
28387,27524,#PIPPIN dumping hard 📉,83336fd906ffddc72f727704e28cbbd6,2025-11-23T14:42:05+00:00,2025-11-23T17:22:10.955716+00:00,165,t.me/BCUSAReal
28386,27523,#PIPPIN round 3 +260% profit in a hour 💸💸💸,b9349495706237d9fb0f80b0fff784d6,2025-11-23T14:13:49+00:00,2025-11-23T17:22:10.952165+00:00,165,t.me/BCUSAReal
28391,27520,#PIPPIN +80% profit in 30 mins 💸💸💸,1ba69b6a8a790b3b9a0c72a7f1772406,2025-11-23T13:39:56+00:00,2025-11-23T17:22:11.492170+00:00,165,t.me/BCUSAReal
28394,27519,Short #PIPPIN round3 10x lev at $0.0585 📉,3d09ed0630988535c31d438021280e93,2025-11-23T13:07:57+00:00,2025-11-23T17:22:11.610338+00:00,165,t.me/BCUSAReal
28392,27518,#PIPPIN 📉,883ba08e37c67610262ef98b708ed1cd,2025-11-23T13:04:06+00:00,2025-11-23T17:22:11.500475+00:00,165,t.me/BCUSAReal
28390,27517,#MAV + #PIPPIN bring good profit today . Enjoy !!,3f3ff296b8fd6c38b5a72bc3e5b7c3f6,2025-11-23T09:33:11+00:00,2025-11-23T17:22:11.456025+00:00,165,t.me/BCUSAReal
28393,27516,#PIPPIN update round 2 +130% profit in 15 mins 💸💸💸,b9af2cb163066c4fa62988d88720cd06,2025-11-23T09:29:18+00:00,2025-11-23T17:22:11.561741+00:00,165,t.me/BCUSAReal
28396,27513,Short #PIPPIN round2 10x lev at $0.082 📉,4c21982f9e13e6f7bf93f150f8a3664d,2025-11-23T08:50:56+00:00,2025-11-23T17:22:11.724593+00:00,165,t.me/BCUSAReal
28395,27512,#PIPPIN update +300% profit in 15 mins 💸💸💸,b441a1ab1be7d008668b4ce5a518379c,2025-11-23T07:23:40+00:00,2025-11-23T17:22:11.670681+00:00,165,t.me/BCUSAReal
28397,27510,Short #PIPPIN 10x lev at $0.082 📉,0980718f20e18431f4f18d55e677e77c,2025-11-23T06:59:09+00:00,2025-11-23T17:22:11.916800+00:00,165,t.me/BCUSAReal
28398,27509,#MAV keep bleeding 💀,59e2300714fb383d8fc9bb4622fad349,2025-11-23T06:42:33+00:00,2025-11-23T17:22:12.249633+00:00,165,t.me/BCUSAReal
28402,27508,Binance Futures Will Delist USDⓈ-M PORT3USDT Perpetual Contract (2025-11-23),740a2a035a482825dd410893e1cc54bf,2025-11-23T06:24:43+00:00,2025-11-23T17:22:12.523455+00:00,165,t.me/BCUSAReal
28400,27507,#MAV update +100% profit in a hour 💸💸💸,325642c60b601d68ea0b39ebbf4c614c,2025-11-23T04:52:41+00:00,2025-11-23T17:22:12.464289+00:00,165,t.me/BCUSAReal
28403,27505,Short #MAV 10x lev at $0.0385 📉,0c66484322197b497b7baf4a73b9c78b,2025-11-23T04:07:53+00:00,2025-11-23T17:22:12.565043+00:00,165,t.me/BCUSAReal
28401,27504,#PORT3 Rekt 💀,3279e9539b16c47048232c7f2e0cc9fa,2025-11-23T03:54:13+00:00,2025-11-23T17:22:12.512541+00:00,165,t.me/BCUSAReal
