id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
18942,9486,SLPUSDT LONG TARGET WAS HIT,3d41ccc53d14a07e480ea9d7e58ac333,2025-11-13T07:47:34+00:00,2025-11-14T20:30:33.423394+00:00,87,t.me/Cash_Haters
18946,9485,BTCUSDT PLAN,48ff96ea99151d3dfd543127a3dfdad6,2025-11-13T06:05:05+00:00,2025-11-14T20:30:33.459795+00:00,87,t.me/Cash_Haters
18950,9484,"Binance Futures, BingX Futures, Bitget Futures, By...it: 21.7576% 📈
Period: 3 Days 17 Hours 6 Minutes ⏰",3f3db1246fda20198164b419ea0130c3,2025-11-11T05:58:02+00:00,2025-11-14T20:30:33.558957+00:00,87,t.me/Cash_Haters
18958,9483,"MEMEUSDT LONG UPDATE, WENT UP 40%🔥🔥😎",5f3bda3fa4160b637dc7d69b79631540,2025-11-09T07:40:17+00:00,2025-11-14T20:30:33.764171+00:00,87,t.me/Cash_Haters
18945,9482,"Binance Futures, BingX Futures, Bitget Futures, By...t: 33.3333% 📈
Period: 1 Days 13 Hours 16 Minutes ⏰",823b63a3942fea2c4f64f287dd6cc772,2025-11-09T05:57:57+00:00,2025-11-14T20:30:33.452848+00:00,87,t.me/Cash_Haters
18942,9486,SLPUSDT LONG TARGET WAS HIT,3d41ccc53d14a07e480ea9d7e58ac333,2025-11-13T07:47:34+00:00,2025-11-14T20:30:33.423394+00:00,87,t.me/Cash_Haters
18946,9485,BTCUSDT PLAN,48ff96ea99151d3dfd543127a3dfdad6,2025-11-13T06:05:05+00:00,2025-11-14T20:30:33.459795+00:00,87,t.me/Cash_Haters
18950,9484,"Binance Futures, BingX Futures, Bitget Futures, By...it: 21.7576% 📈
Period: 3 Days 17 Hours 6 Minutes ⏰",3f3db1246fda20198164b419ea0130c3,2025-11-11T05:58:02+00:00,2025-11-14T20:30:33.558957+00:00,87,t.me/Cash_Haters
18958,9483,"MEMEUSDT LONG UPDATE, WENT UP 40%🔥🔥😎",5f3bda3fa4160b637dc7d69b79631540,2025-11-09T07:40:17+00:00,2025-11-14T20:30:33.764171+00:00,87,t.me/Cash_Haters
18945,9482,"Binance Futures, BingX Futures, Bitget Futures, By...t: 33.3333% 📈
Period: 1 Days 13 Hours 16 Minutes ⏰",823b63a3942fea2c4f64f287dd6cc772,2025-11-09T05:57:57+00:00,2025-11-14T20:30:33.452848+00:00,87,t.me/Cash_Haters
21598,9488,BTCUSDT PLAN -  MIGHT GET A RETEST OF 100K BEFORE WE COME DOWN,714d3a8b889c88315931aa0370911b6d,2025-11-17T07:51:20+00:00,2025-11-17T16:29:36.173074+00:00,87,t.me/Cash_Haters
23393,9492,BCHUSDT PLAN,aaac2c3f8d86a529a12e55e8d9721890,2025-11-18T22:57:15+00:00,2025-11-19T15:41:28.043298+00:00,87,t.me/Cash_Haters
23406,9491,EULUSDT SPOT BUY HERE AT 4.370,2248c0eb4bbb0ac5f22f3fbcd4d6682b,2025-11-18T22:40:47+00:00,2025-11-19T15:41:28.192986+00:00,87,t.me/Cash_Haters
