id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
18942,9486,SLPUSDT LONG TARGET WAS HIT,3d41ccc53d14a07e480ea9d7e58ac333,2025-11-13T07:47:34+00:00,2025-11-14T20:30:33.423394+00:00,87,t.me/Cash_Haters
18946,9485,BTCUSDT PLAN,48ff96ea99151d3dfd543127a3dfdad6,2025-11-13T06:05:05+00:00,2025-11-14T20:30:33.459795+00:00,87,t.me/Cash_Haters
18950,9484,"Binance Futures, BingX Futures, Bitget Futures, By...it: 21.7576% 📈
Period: 3 Days 17 Hours 6 Minutes ⏰",3f3db1246fda20198164b419ea0130c3,2025-11-11T05:58:02+00:00,2025-11-14T20:30:33.558957+00:00,87,t.me/Cash_Haters
18958,9483,"MEMEUSDT LONG UPDATE, WENT UP 40%🔥🔥😎",5f3bda3fa4160b637dc7d69b79631540,2025-11-09T07:40:17+00:00,2025-11-14T20:30:33.764171+00:00,87,t.me/Cash_Haters
18945,9482,"Binance Futures, BingX Futures, Bitget Futures, By...t: 33.3333% 📈
Period: 1 Days 13 Hours 16 Minutes ⏰",823b63a3942fea2c4f64f287dd6cc772,2025-11-09T05:57:57+00:00,2025-11-14T20:30:33.452848+00:00,87,t.me/Cash_Haters
18942,9486,SLPUSDT LONG TARGET WAS HIT,3d41ccc53d14a07e480ea9d7e58ac333,2025-11-13T07:47:34+00:00,2025-11-14T20:30:33.423394+00:00,87,t.me/Cash_Haters
18946,9485,BTCUSDT PLAN,48ff96ea99151d3dfd543127a3dfdad6,2025-11-13T06:05:05+00:00,2025-11-14T20:30:33.459795+00:00,87,t.me/Cash_Haters
18950,9484,"Binance Futures, BingX Futures, Bitget Futures, By...it: 21.7576% 📈
Period: 3 Days 17 Hours 6 Minutes ⏰",3f3db1246fda20198164b419ea0130c3,2025-11-11T05:58:02+00:00,2025-11-14T20:30:33.558957+00:00,87,t.me/Cash_Haters
18958,9483,"MEMEUSDT LONG UPDATE, WENT UP 40%🔥🔥😎",5f3bda3fa4160b637dc7d69b79631540,2025-11-09T07:40:17+00:00,2025-11-14T20:30:33.764171+00:00,87,t.me/Cash_Haters
18945,9482,"Binance Futures, BingX Futures, Bitget Futures, By...t: 33.3333% 📈
Period: 1 Days 13 Hours 16 Minutes ⏰",823b63a3942fea2c4f64f287dd6cc772,2025-11-09T05:57:57+00:00,2025-11-14T20:30:33.452848+00:00,87,t.me/Cash_Haters
21598,9488,BTCUSDT PLAN -  MIGHT GET A RETEST OF 100K BEFORE WE COME DOWN,714d3a8b889c88315931aa0370911b6d,2025-11-17T07:51:20+00:00,2025-11-17T16:29:36.173074+00:00,87,t.me/Cash_Haters
23393,9492,BCHUSDT PLAN,aaac2c3f8d86a529a12e55e8d9721890,2025-11-18T22:57:15+00:00,2025-11-19T15:41:28.043298+00:00,87,t.me/Cash_Haters
23406,9491,EULUSDT SPOT BUY HERE AT 4.370,2248c0eb4bbb0ac5f22f3fbcd4d6682b,2025-11-18T22:40:47+00:00,2025-11-19T15:41:28.192986+00:00,87,t.me/Cash_Haters
24315,9494,"B3USDT LONG

Coin : B3USDT

Type : long

Leverage ...- 0.002455
TARGET 8 - 0.002729

STOPLOS - 0.000935",8a1794e7d295630a65dd60791aac0785,2025-11-20T07:12:58+00:00,2025-11-20T15:44:22.903470+00:00,87,t.me/Cash_Haters
31118,9496,BTCUSDT UPDATE,b74061c95fa3de6044c419e1484f6b09,2025-11-24T13:10:47+00:00,2025-11-24T17:38:39.980597+00:00,87,t.me/Cash_Haters
33722,9501,"VFYUSDT SWING LONG

Coin : VFYUSDT

Type : long

L...
TARGET 7 - 0.065
TARGET 8 - 0.07

STOPLOS - 0.030",5182f5003f5d2dc130fb89039eec7441,2025-11-25T17:20:31+00:00,2025-11-25T18:00:48.528683+00:00,87,t.me/Cash_Haters
33709,9500,"EULUSDT SWING LONG

COIN - EULUSDT

TYPE- LONG

Le... 4 - 5.6
Target 5- 6
Target 6 -7.2

STOPLOSS - 3.7",832dbc352af4cd6fca5b2ee538ba232e,2025-11-25T17:16:34+00:00,2025-11-25T18:00:48.268308+00:00,87,t.me/Cash_Haters
33738,9499,"Buy b3usdt spot, current price 0.001154",6e8ed1a1f08223144f777b48566e3198,2025-11-25T04:36:14+00:00,2025-11-25T18:00:48.954508+00:00,87,t.me/Cash_Haters
33707,9498,"Buy coaiusdt spot , current price 0.5808",359aef4d484bbbea0d220461c2ac36f3,2025-11-25T04:33:36+00:00,2025-11-25T18:00:48.267466+00:00,87,t.me/Cash_Haters
