id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
23864,33619,"All targets done 1⃣2⃣3⃣4⃣✔️

Profit 358% 🔥🔥

Profi...n 1 hour 25 minutes 🎯🎯

How is our FREE SIGNAL  🙂🙂",782c9b96d36ddadc0bf1a04c4dac5aca,2025-11-20T15:35:18+00:00,2025-11-20T15:43:50.731298+00:00,149,t.me/MaxTradinggkk
23858,33618,"💵💵LIFETIME PREMIUM SALE

▶️ 499USDT 👉 79USDT ▶️

⌛...um  ⬇️ 

@cryptotradingadmin ☄️☄️

Join and earn 💯",136a46e90c2a7ba227214b0916888ca3,2025-11-20T14:41:07+00:00,2025-11-20T15:43:50.709086+00:00,149,t.me/MaxTradinggkk
23867,33616,"SAGAUSDT

📈📈Profit: 1731.11%  🔥🔥

All Take Profits...

💸Contact 👉

                 @cryptotradingadmin",9c2b6a4fba0714948341bbad0a25c8df,2025-11-20T14:39:34+00:00,2025-11-20T15:43:50.845653+00:00,149,t.me/MaxTradinggkk
24786,33630,"💵💵LIFETIME PREMIUM SALE

▶️ 499USDT 👉 79USDT ▶️

⌛...um  ⬇️ 

@cryptotradingadmin ☄️☄️

Join and earn 💯",136a46e90c2a7ba227214b0916888ca3,2025-11-21T11:51:44+00:00,2025-11-21T16:05:02.726739+00:00,149,t.me/MaxTradinggkk
24767,33629,"ERAUSDT

📈📈Profit: 710%  🔥🔥

All Take Profits Achi...

💸Contact 👉

                 @cryptotradingadmin",2f8702d3bc3899fc97f411230d3c0823,2025-11-21T11:16:16+00:00,2025-11-21T16:05:02.549843+00:00,149,t.me/MaxTradinggkk
24787,33627,"KGENUSDT

📈📈Profit: 1073%  🔥🔥

All Take Profits Ac...

💸Contact 👉

                 @cryptotradingadmin",7cafa345964f1157df15fcdcc6a276ca,2025-11-21T11:15:14+00:00,2025-11-21T16:05:02.768062+00:00,149,t.me/MaxTradinggkk
24811,33625,"CCUSDT

📈📈Profit: 1250%  🔥🔥

All Take Profits Achi...

💸Contact 👉

                 @cryptotradingadmin",ee7575b4c7a81122f6091804d0ed794d,2025-11-21T11:13:45+00:00,2025-11-21T16:05:03.387431+00:00,149,t.me/MaxTradinggkk
24793,33623,"AEROUSDT

📈📈Profit: 1000%  🔥🔥

All Take Profits Ac...

💸Contact 👉

                 @cryptotradingadmin",6be1b9154eabf7177448d8c7294ce037,2025-11-21T11:11:32+00:00,2025-11-21T16:05:02.792457+00:00,149,t.me/MaxTradinggkk
26960,33648,"🔝 OUR PREMIUM DETAILS 🔝

       ▶️VIP PRIZE LIST ▶...es with guarantee

Contact  ➡️ @cryptotradingadmin",99606a3b784ac5e6ca02e5df0832cd76,2025-11-22T13:45:44+00:00,2025-11-22T18:05:33.096060+00:00,149,t.me/MaxTradinggkk
26961,33647,"BATUSDT

📈📈Profit: 467%  🔥🔥

All Take Profits Achi...

💸Contact 👉

                 @cryptotradingadmin",b2784c5c777acc472e4b19f31512e056,2025-11-22T13:22:34+00:00,2025-11-22T18:05:33.853070+00:00,149,t.me/MaxTradinggkk
26962,33645,"XVGUSDT

📈📈Profit: 495%  🔥🔥

All Take Profits Achi...

💸Contact 👉

                 @cryptotradingadmin",100f6e9d3b797bcd706d9b46b3c3eb65,2025-11-22T13:21:13+00:00,2025-11-22T18:05:34.265291+00:00,149,t.me/MaxTradinggkk
26964,33643,"ZECUSDT

📈📈Profit: 1231%  🔥🔥

All Take Profits Ach...

💸Contact 👉

                 @cryptotradingadmin",13262a88a1921d6ebdae81fd36140cba,2025-11-22T13:20:12+00:00,2025-11-22T18:05:34.281959+00:00,149,t.me/MaxTradinggkk
26965,33641,"ARIAUSDT

📈📈Profit: 1305%  🔥🔥

All Take Profits Ac...

💸Contact 👉

                 @cryptotradingadmin",c0bf07742b22bb9c2bfd6cc222f9bcaa,2025-11-22T13:19:02+00:00,2025-11-22T18:05:34.339945+00:00,149,t.me/MaxTradinggkk
26963,33639,"DYMUSDT

📈📈Profit: 1482%  🔥🔥

All Take Profits Ach...

💸Contact 👉

                 @cryptotradingadmin",bb2002482c559c518cb6b38b6e5b4f1d,2025-11-22T13:17:51+00:00,2025-11-22T18:05:34.275840+00:00,149,t.me/MaxTradinggkk
26968,33637,"B2USDT

📈📈Profit: 2300%  🔥🔥

All Take Profits Achi...

💸Contact 👉

                 @cryptotradingadmin",407ccdb9f8d49b89e868165a8f5b8e95,2025-11-22T13:17:22+00:00,2025-11-22T18:05:34.379929+00:00,149,t.me/MaxTradinggkk
