id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
18957,8474,"Binance Futures, BingX Futures, Bitget Futures, By... at trailing stoploss after reaching take profit ⚠",1fd30e1d85e672af3ff4127c9f5ccded,2025-11-14T04:54:52+00:00,2025-11-14T20:30:33.691548+00:00,89,t.me/AltSignal_VIP
18961,8473,"Binance Futures, BingX Futures, Bitget Futures, By... ✅
Profit: 15.8783% 📈
Period: 8 Hours 29 Minutes ⏰",af9a8013dd0cb75771c58d3017e0953b,2025-11-14T04:40:48+00:00,2025-11-14T20:30:33.871727+00:00,89,t.me/AltSignal_VIP
18948,8472,"Binance Futures, BingX Futures, Bitget Futures, By... ✅
Profit: 14.7679% 📈
Period: 8 Hours 25 Minutes ⏰",c07b542116b2f3b1bd7b14c7026706f8,2025-11-14T04:37:42+00:00,2025-11-14T20:30:33.532686+00:00,89,t.me/AltSignal_VIP
18959,8471,"Binance Futures, BingX Futures, Bitget Futures, By... at trailing stoploss after reaching take profit ⚠",a2c03be4c7f67fe3b567bc68d9bec612,2025-11-13T23:18:30+00:00,2025-11-14T20:30:33.784122+00:00,89,t.me/AltSignal_VIP
18952,8470,"Binance Futures, BingX Futures, Bitget Futures, By... at trailing stoploss after reaching take profit ⚠",a4127e71f805f844589665f142bfeb9c,2025-11-13T23:12:11+00:00,2025-11-14T20:30:33.570911+00:00,89,t.me/AltSignal_VIP
18957,8474,"Binance Futures, BingX Futures, Bitget Futures, By... at trailing stoploss after reaching take profit ⚠",1fd30e1d85e672af3ff4127c9f5ccded,2025-11-14T04:54:52+00:00,2025-11-14T20:30:33.691548+00:00,89,t.me/AltSignal_VIP
18961,8473,"Binance Futures, BingX Futures, Bitget Futures, By... ✅
Profit: 15.8783% 📈
Period: 8 Hours 29 Minutes ⏰",af9a8013dd0cb75771c58d3017e0953b,2025-11-14T04:40:48+00:00,2025-11-14T20:30:33.871727+00:00,89,t.me/AltSignal_VIP
18948,8472,"Binance Futures, BingX Futures, Bitget Futures, By... ✅
Profit: 14.7679% 📈
Period: 8 Hours 25 Minutes ⏰",c07b542116b2f3b1bd7b14c7026706f8,2025-11-14T04:37:42+00:00,2025-11-14T20:30:33.532686+00:00,89,t.me/AltSignal_VIP
18959,8471,"Binance Futures, BingX Futures, Bitget Futures, By... at trailing stoploss after reaching take profit ⚠",a2c03be4c7f67fe3b567bc68d9bec612,2025-11-13T23:18:30+00:00,2025-11-14T20:30:33.784122+00:00,89,t.me/AltSignal_VIP
18952,8470,"Binance Futures, BingX Futures, Bitget Futures, By... at trailing stoploss after reaching take profit ⚠",a4127e71f805f844589665f142bfeb9c,2025-11-13T23:12:11+00:00,2025-11-14T20:30:33.570911+00:00,89,t.me/AltSignal_VIP
