id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
22164,73132,"#BTC/USDT

TYPE - LONG 🟢

ENTRY - **

TARGET - **
...all details here 🤑

https://t.me/+u7PDRxEFxlIwMGU5",80f8091d02cf09a0a4e7bc2a58049995,2025-11-17T17:01:41+00:00,2025-11-17T17:53:18.767692+00:00,95,t.me/gorilla_crypto
21553,73129,"📊 #QUSDT  update

Q is holding strong support at 0...
0.025 → 0.035 → 0.045 🚀

Below 0.0100 = weakness.",faef3b1cc1f1a50f9b1de410ba0647ed,2025-11-17T15:56:28+00:00,2025-11-17T16:29:30.864490+00:00,95,t.me/gorilla_crypto
21496,73128,"#TAO FREE Signal target 1 hit with 97%+ profit! 🚀😬...L calls in our VIP group.

👉 Join now: @bob_bob_77",2c8d82bdb2939a5b6bd26a2ce7927252,2025-11-17T14:47:01+00:00,2025-11-17T16:29:30.125474+00:00,95,t.me/gorilla_crypto
21539,73127,"#BTC/USDT

TYPE - LONG 🟢

ENTRY - **

TARGET - **
...all details here 🤑

https://t.me/+u7PDRxEFxlIwMGU5",80f8091d02cf09a0a4e7bc2a58049995,2025-11-17T14:35:38+00:00,2025-11-17T16:29:30.793761+00:00,95,t.me/gorilla_crypto
21502,73124,"—————-
JUST IN: Michael Saylor's 'Strategy' buys 8,178 Bitcoin worth $835 million.
———",f822d1ce89a3545481381ad9bdccc466,2025-11-17T13:38:27+00:00,2025-11-17T16:29:30.142110+00:00,95,t.me/gorilla_crypto
21481,73122,"🙈 Exclusive #VIP Signal 🙈

Pair: #TAO/USDT  
Posit...ement: Enter in parts, use 2-3% of your portfolio.",d181b04e02905be65250f95f200f2070,2025-11-17T13:25:54+00:00,2025-11-17T16:29:29.754312+00:00,95,t.me/gorilla_crypto
21509,73115,"⭐️Gorilla 🦍VIP🛡update
—————-
    VIP_FREE Set_up  ...Join @bob_bob_77  ✅VIP to gain huge profits Daily🤌",5a8c58ef8652faf69d1423f89968bcd7,2025-11-17T12:58:37+00:00,2025-11-17T16:29:30.311279+00:00,95,t.me/gorilla_crypto
21531,73114,"⭐️Gorilla 🦍 VIP🛡update
 #ROSEUSDT Dominates! 📈
———...’t get left behind! 
———
📱JOIN Now [ @bob_bob_77 ]",353c6d9383868ccdfff1bc034c996147,2025-11-17T12:15:15+00:00,2025-11-17T16:29:30.771828+00:00,95,t.me/gorilla_crypto
21550,73111,"📊 #UAIUSDT Quick Outlook

UAI is squeezing inside ... 0.180 → Downside risk
———
Clean breakout setup. 🚀",0190479fdb7216909e4c2ca2087f1c9d,2025-11-17T11:23:07+00:00,2025-11-17T16:29:30.852574+00:00,95,t.me/gorilla_crypto
21526,73110,"📊 #TAO/USDT Analysis

TAO is showing strong suppor... with volume, expect strong upward momentum ahead!",8a4b94f8c06b58be111e7cef6a3160fd,2025-11-17T10:50:18+00:00,2025-11-17T16:29:30.613660+00:00,95,t.me/gorilla_crypto
