id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
53921,6080,"📍Coin : #SOL/USDT

🔴 SHORT 

👉 Entry: 142.1000 - 1...34.9000
🎯 Target 6: 133.5400

❌ StopLoss: 147.8000",51b011757a7a5a892a8d6b94c6a91989,2025-12-04T15:06:19+00:00,2025-12-04T21:21:30.756596+00:00,78,t.me/WolfofTrading_officials
48191,6067,"📍Coin : #ANIME/USDT

🟢 LONG 

👉 Entry: 0.006900 - ....007254
🎯 Target 6: 0.007330

❌ StopLoss: 0.006530",3058af70f5d85eb5be2d46542c19443f,2025-12-02T08:26:48+00:00,2025-12-02T20:33:12.675976+00:00,78,t.me/WolfofTrading_officials
48265,6066,"📍Coin : #VANA/USDT

🔴 SHORT 

👉 Entry: 2.9000 - 3....t 5: 2.7582
🎯 Target 6: 2.7299

❌ StopLoss: 3.1200",5ef6c0a75406141605d40f2bb42b21ca,2025-12-02T03:09:49+00:00,2025-12-02T20:33:13.830648+00:00,78,t.me/WolfofTrading_officials
65181,6169,"📍Coin : #WIF/USDT

🔴 SHORT 

👉 Entry: 0.3838 - 0.3...t 5: 0.3649
🎯 Target 6: 0.3612

❌ StopLoss: 0.4030",ecfb4f7a7b7296afd5f24531098dd1fb,2025-12-09T04:22:20+00:00,2025-12-09T23:24:08.465051+00:00,78,t.me/WolfofTrading_officials
71104,6288,"📍Coin : #ETH/USDT

🔴 SHORT 

👉 Entry: 3212.0000 - ....1400
🎯 Target 6: 3022.3000

❌ StopLoss: 3410.0000",60410e31b8660a4224d90d66b5270ef3,2025-12-11T02:56:29+00:00,2025-12-12T00:11:54.991410+00:00,78,t.me/WolfofTrading_officials
85123,6375,"📍Coin : #USTC/USDT

🔴 SHORT 

👉 Entry: 0.007470 - ....007103
🎯 Target 6: 0.007031

❌ StopLoss: 0.007850",71aaa218df30c31f8b7b56df48321dc8,2025-12-17T02:59:52+00:00,2025-12-17T03:10:42.332745+00:00,78,t.me/WolfofTrading_officials
95938,6460,"📍Coin : #TST/USDT

🔴 SHORT 

👉 Entry: 0.01824 - 0....: 0.01726
🎯 Target 6: 0.01706

❌ StopLoss: 0.01910",40c5a364bbaba24fa00fe00c1c0eb577,2025-12-23T03:27:55+00:00,2025-12-23T15:34:26.057786+00:00,78,t.me/WolfofTrading_officials
95911,6452,"📍Coin : #ACT/USDT

🔴 SHORT 

👉 Entry: 0.03985 - 0....: 0.03790
🎯 Target 6: 0.03752

❌ StopLoss: 0.04199",d0d03296c314de460e5d9cbf32765684,2025-12-21T04:41:11+00:00,2025-12-23T15:34:25.879175+00:00,78,t.me/WolfofTrading_officials
95957,6447,"📍Coin : #DOGS/USDT

🟢 LONG 

👉 Entry: 0.00004271 -...488
🎯 Target 6: 0.00004532

❌ StopLoss: 0.00003930",b7ded156a6db81dc37f81563fb24f6c1,2025-12-20T07:53:30+00:00,2025-12-23T15:34:26.175060+00:00,78,t.me/WolfofTrading_officials
95933,6446,"📍Coin : #ANIME/USDT

🔴 SHORT 

👉 Entry: 0.005934 -....005640
🎯 Target 6: 0.005582

❌ StopLoss: 0.006270",ce77025142e9d113910b305a4d6f536d,2025-12-20T04:13:25+00:00,2025-12-23T15:34:26.014200+00:00,78,t.me/WolfofTrading_officials
95948,6423,"📍Coin : #ACT/USDT

🔴 SHORT 

👉 Entry: 0.02872 - 0....: 0.02735
🎯 Target 6: 0.02707

❌ StopLoss: 0.03020",59eb79edcdbf60adeedc41d18b032474,2025-12-19T01:38:12+00:00,2025-12-23T15:34:26.094112+00:00,78,t.me/WolfofTrading_officials
