id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
174518,4582,"WLD/USDT 

🛫Enter below: 0.4046(with a minimum val...0.4111

🔎Leverage x10

🔘Respect the entry in zone.",02d1739c30916892801c4e6e19425e29,2026-02-01T10:34:47+00:00,2026-02-01T11:18:23.287387+00:00,90,t.me/Crypto_Trading_Club
174534,4581,"WLD/USDT 

🛫Enter below: 0.4046(with a minimum val...0.4111

🔎Leverage x10

🔘Respect the entry in zone.",02d1739c30916892801c4e6e19425e29,2026-02-01T09:33:05+00:00,2026-02-01T11:18:23.381316+00:00,90,t.me/Crypto_Trading_Club
177728,4590,"LRC/USDT 

🛫Enter below: 0.04057(with a minimum va....04118

🔎Leverage x10

🔘Respect the entry in zone.",97d41bea51a72c7b45c8430f1bc7f0c9,2026-02-03T09:00:04+00:00,2026-02-03T11:50:03.442325+00:00,90,t.me/Crypto_Trading_Club
181825,4595,"BCH/USDT 

🛫Enter below: 525.30(with a minimum val...533.24

🔎Leverage x10

🔘Respect the entry in zone.",b0324a16d05dae56697a053db85536ea,2026-02-05T09:34:24+00:00,2026-02-05T15:00:01.881254+00:00,90,t.me/Crypto_Trading_Club
185768,4601,"📍 FEBRUARY 7TH, 2026 - CRYPTO ANALYSIS👇

Bitcoin (...ly 50K.

📊 Key Levels to Watch:

• Resistance: 74K",182344c0b4ea93c87c2c532b0536a23c,2026-02-07T13:44:41+00:00,2026-02-07T15:15:49.580882+00:00,90,t.me/Crypto_Trading_Club
189132,4606,"BTC/USDT 

🛫Enter below: 69355.2(with a minimum va...0381.2

🔎Leverage x10

🔘Respect the entry in zone.",deeb5530fbc1d9513a3f7c43b391b957,2026-02-09T09:12:38+00:00,2026-02-09T20:04:48.942870+00:00,90,t.me/Crypto_Trading_Club
195313,4617,"BTC/USDT 

🛫Enter below: 65730.6(with a minimum va...67175.5

🔎Leverage x7

🔘Respect the entry in zone.",2c9260f63e8fbd2b95d33e3ccb21df4e,2026-02-12T16:53:08+00:00,2026-02-13T04:26:17.060895+00:00,90,t.me/Crypto_Trading_Club
195321,4615,"BTC/USDT 📈 BUY

🛫Enter above: 68279.0 (with a maxi...L 67254.4

🔎Leverage 10x

🔘Respect the entry zone.",b0d79116d46e9be400d7498354bf1f88,2026-02-12T12:46:07+00:00,2026-02-13T04:26:17.154958+00:00,90,t.me/Crypto_Trading_Club
200270,4630,"BTC/USDT 

🛫Enter below: 68739.3(with a minimum va...9785.0

🔎Leverage 10x

🔘Respect the entry in zone.",51a850100261c77a3739b0eb2f38a5f9,2026-02-15T15:24:44+00:00,2026-02-16T12:46:47.604857+00:00,90,t.me/Crypto_Trading_Club
202774,4635,"LTC/USDT 📈 BUY

🛫Enter above: 55.64 (with a maximu...️SL 54.81

🔎Leverage 10x

🔘Respect the entry zone.",9ca4f1f12a8ee5c9042d0ac2a1cba59c,2026-02-16T22:20:41+00:00,2026-02-17T13:03:05.040627+00:00,90,t.me/Crypto_Trading_Club
