id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
21190,42510,"15m TF. Сейчас UNI показывает рост, сформировав на... TRADE

Открыть график | Торговать | #ПробойУровня",31d21b89755389af4cd32e251a8a4988,2025-11-17T08:39:06+00:00,2025-11-17T16:29:08.159240+00:00,134,t.me/daytrader_signals
21187,42509,"Привод Бондаря работает до 28 ноября

По вашим про...ку

CScalp | WebCScalp | Дневник трейдера

#bondar",3fd4f48589d773563e4227451ecd565c,2025-11-17T07:48:53+00:00,2025-11-17T16:29:08.126190+00:00,134,t.me/daytrader_signals
21202,42508,"Что ""двигалось"" за последние 24 часа

Bybit USDT P...ство здесь.

CScalp | WebCScalp | Дневник трейдера",c246c280ec6fe3754ba77a14e5703d7b,2025-11-17T06:00:01+00:00,2025-11-17T16:29:08.439446+00:00,134,t.me/daytrader_signals
20073,42506,"30m TF. Текущий анализ инструмента FOLKS показывае...RADE

Открыть график | Торговать | #ПробойНаклонки",c32a242a491f81f0af3f7b0547067817,2025-11-16T14:19:17+00:00,2025-11-16T14:30:59.017179+00:00,134,t.me/daytrader_signals
20071,42505,"5m TF. По монете PIEVERSE сформирован лонговый сет... TRADE

Открыть график | Торговать | #ПробойУровня",8df37bdf514eed0883d546c2bb0cd284,2025-11-16T10:06:34+00:00,2025-11-16T14:30:59.008805+00:00,134,t.me/daytrader_signals
20072,42504,"Что ""двигалось"" за последние 24 часа

Bybit USDT P...ство здесь.

CScalp | WebCScalp | Дневник трейдера",575e821a9d92a04ffde99409769cd1f1,2025-11-16T06:00:03+00:00,2025-11-16T14:30:59.013159+00:00,134,t.me/daytrader_signals
20076,42503,"15m TF. В данный момент ZEC демонстрирует рост. Фо... TRADE

Открыть график | Торговать | #ПробойУровня",86d27512e0ad28cbaaf5d7b8f747cc0c,2025-11-15T17:44:45+00:00,2025-11-16T14:30:59.073692+00:00,134,t.me/daytrader_signals
20075,42502,"1h TF. По инструменту ETH наблюдается локальный ни... TRADE

Открыть график | Торговать | #ПробойУровня",a7a3403c872f51a268c9ca29f7786c64,2025-11-15T09:42:21+00:00,2025-11-16T14:30:59.062216+00:00,134,t.me/daytrader_signals
22196,42513,"5m TF. PIEVERSE сейчас активно растёт, показывая н... TRADE

Открыть график | Торговать | #ПробойУровня",54f0f1aef946f2afdf6a675a5847fd95,2025-11-18T10:08:29+00:00,2025-11-18T15:11:25.449562+00:00,134,t.me/daytrader_signals
22205,42512,"1h TF. На инструменте сформировалась часовая консо... Trade

Открыть график | Торговать | #ПробойУровня",f1b144da786fb97ea2f9bd3df0fea54b,2025-11-18T09:58:58+00:00,2025-11-18T15:11:25.555695+00:00,134,t.me/daytrader_signals
23037,42517,"1h TF. Ситуация на рынке: Актив стоит выше ключево...ь.

Открыть график | Торговать | #ОтскокОтНаклонки",f7d167647b944e665a2813f2f0b8934d,2025-11-19T14:46:13+00:00,2025-11-19T15:41:04.577143+00:00,134,t.me/daytrader_signals
23038,42516,"Что ""двигалось"" за последние 24 часа

Bybit USDT P...ство здесь.

CScalp | WebCScalp | Дневник трейдера",ece050df248e4d0c3b3a4312d4c6904a,2025-11-19T06:00:02+00:00,2025-11-19T15:41:04.593073+00:00,134,t.me/daytrader_signals
23041,42515,"5m TF. Цена на графике показывает движение вверх п...K TEAM

Открыть график | Торговать | #ПробойУровня",e7ea8d016487d8e86f2d62934502227e,2025-11-18T20:28:48+00:00,2025-11-19T15:41:04.618647+00:00,134,t.me/daytrader_signals
23804,42519,"4h TF. Актив находится в зоне ключевой поддержки о...сь

Открыть график | Торговать | #ОтскокОтНаклонки",5ecf007aae0d3519a8d1b15d5b7735df,2025-11-19T17:38:07+00:00,2025-11-19T17:47:11.150048+00:00,134,t.me/daytrader_signals
23935,42522,"4h TF. Актив стабилизировался в зоне 14.10, котора...ь.

Открыть график | Торговать | #ОтскокОтНаклонки",b1de1f88efc85af8bb0631d00bb1a090,2025-11-20T14:55:11+00:00,2025-11-20T15:44:01.126727+00:00,134,t.me/daytrader_signals
23970,42521,"Не знаете, что торговать сегодня? 
Разбираем интер...ключайтесь!

CScalp | WebCScalp | Дневник трейдера",fb3035134989d5fe33f85e45370fae8f,2025-11-20T06:30:53+00:00,2025-11-20T15:44:01.721680+00:00,134,t.me/daytrader_signals
25147,42524,"🚀 Бесплатный курс ""Быстрые сделки и спокойный разу...тить бесплатные курсы трейдинга от профессионалов.",a755db7608317955e9eb83173ab2da5c,2025-11-21T08:58:01+00:00,2025-11-21T16:05:27.405528+00:00,134,t.me/daytrader_signals
