id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
23841,8544,"#ckb/usdt is shaping descending channel pattern on the 3D chart💁‍♀️

A strong rally is approaching📈",d21e460f57ad238b387619b1233810ab,2025-11-20T15:38:41+00:00,2025-11-20T15:43:50.338680+00:00,153,t.me/HunterWolves
23842,8543,"#TOTAL update 

The 3-Year Bull Run is over. 

Entering 1 Year of Bear 🐻",c5e78d65b5dccba77058865d61fb7dc1,2025-11-20T15:22:50+00:00,2025-11-20T15:43:50.356098+00:00,153,t.me/HunterWolves
23846,8542,Fear And Greed Index,b2d54c360cd962886a5f60b1501256e0,2025-11-20T00:30:18+00:00,2025-11-20T15:43:50.450829+00:00,153,t.me/HunterWolves
23843,8541,"1️⃣ March-August 2024: -33% correction
2️⃣ January...ort Zone from which #BTC will likely bounce hard 📈",c8adc88f4d02e06b7522a9e4e08011f9,2025-11-19T17:40:43+00:00,2025-11-20T15:43:50.356986+00:00,153,t.me/HunterWolves
23844,8540,Crypto Liquidations,5e086946f922477f735ff3a5da825df0,2025-11-19T17:00:27+00:00,2025-11-20T15:43:50.445011+00:00,153,t.me/HunterWolves
24657,8547,"#BTC 3D update 

And we're entering my $83-87k Reversal Zone! 👀 😁",58e2a66e0169778b3ae10cc5a1c3bed8,2025-11-20T17:13:45+00:00,2025-11-20T18:01:11.550743+00:00,153,t.me/HunterWolves
24656,8546,Crypto Liquidations,5e086946f922477f735ff3a5da825df0,2025-11-20T17:00:21+00:00,2025-11-20T18:01:11.524922+00:00,153,t.me/HunterWolves
24754,8550,"-36% correction. The biggest #BTC correction we’ve had this cycle so far

That’s it for now. Bounce!",f7f525b875d76df3947e87f5d0b8c6a3,2025-11-21T14:48:15+00:00,2025-11-21T16:05:02.109175+00:00,153,t.me/HunterWolves
24760,8549,Do you understand now?,e9f009412372e7851cb4875a4cbb582c,2025-11-21T10:54:22+00:00,2025-11-21T16:05:02.289792+00:00,153,t.me/HunterWolves
26103,8553,"Target Zone reached! ✅😎
#BTC went a little lower t...rallel Channel structure and bounce to $100-108k 📈",704e00a04d2b721120eb6323409e8da4,2025-11-21T17:21:08+00:00,2025-11-21T17:26:04.439724+00:00,153,t.me/HunterWolves
26104,8552,Crypto Liquidations,5e086946f922477f735ff3a5da825df0,2025-11-21T17:00:30+00:00,2025-11-21T17:26:04.486788+00:00,153,t.me/HunterWolves
26937,8557,Crypto Liquidations,5e086946f922477f735ff3a5da825df0,2025-11-22T17:00:32+00:00,2025-11-22T18:05:31.056385+00:00,153,t.me/HunterWolves
26941,8556,"#Aster

Aster is forming a beautiful Cup-shaped re...bullish — Aster looks ready for the next leg up. 🚀",d86b5da90460df76773fb4a2b4b6c708,2025-11-22T15:47:54+00:00,2025-11-22T18:05:31.154031+00:00,153,t.me/HunterWolves
26940,8555,This is the most aggressive drawdown we've seen th...of months we'll have to bounce back to the MA200 📈,5978dd2ab1cc4d824173d01f1efd6db2,2025-11-22T12:30:54+00:00,2025-11-22T18:05:31.098241+00:00,153,t.me/HunterWolves
28457,8560,"#BCH ⚡️

Bitcoin Cash is tightening inside a desce... coiling. Momentum is loading. The next leg is up.",3c21868ba0516f020da8686d935fedd8,2025-11-23T15:23:51+00:00,2025-11-23T17:22:15.754440+00:00,153,t.me/HunterWolves
28456,8559,"Based on historical data, $BTC will not make a new...ry 2028-January 2029 is when a new ATH is expected",5335350fd079e4f3171af41d79e36542,2025-11-23T12:47:24+00:00,2025-11-23T17:22:15.714014+00:00,153,t.me/HunterWolves
30522,8566,Crypto Liquidations,5e086946f922477f735ff3a5da825df0,2025-11-24T17:00:19+00:00,2025-11-24T17:37:39.449637+00:00,153,t.me/HunterWolves
30526,8565,"📌 PHB — Weekly Outlook

PHB is still trading insid...mulation range
✨ Bias: Bullish while support holds",a1eea02f4de608cff6554ffad5aeabcf,2025-11-24T16:30:39+00:00,2025-11-24T17:37:39.945183+00:00,153,t.me/HunterWolves
30530,8564,"Déjà vu all over again 🧐

#BTC",335516a8040672f0d97ae96316d7b452,2025-11-24T11:26:57+00:00,2025-11-24T17:37:40.020157+00:00,153,t.me/HunterWolves
30541,8563,Fear And Greed Index,b2d54c360cd962886a5f60b1501256e0,2025-11-24T00:30:14+00:00,2025-11-24T17:37:40.411590+00:00,153,t.me/HunterWolves
30528,8562,Second weekly close below the 50-Week MA 😁,9078d74ab775bc8624460711f7f85673,2025-11-24T00:07:59+00:00,2025-11-24T17:37:39.970295+00:00,153,t.me/HunterWolves
32943,8572,#BAT is shaping a rounded recovery structure — a c...s long as the right-side higher low holds firmly 🟦,d9cb915c441e04710c74b6de73f17607,2025-11-25T17:35:48+00:00,2025-11-25T17:59:47.283196+00:00,153,t.me/HunterWolves
32926,8571,Crypto Liquidations,5e086946f922477f735ff3a5da825df0,2025-11-25T17:00:34+00:00,2025-11-25T17:59:47.209934+00:00,153,t.me/HunterWolves
32922,8570,Just think about this: $HYPE & $SUI are the best p...ink about that. That's how fucked up this cycle is,42a4ef268c17c0622bbbf32b5e6a0082,2025-11-25T12:12:24+00:00,2025-11-25T17:59:47.165275+00:00,153,t.me/HunterWolves
32927,8569,"'So what happened to your $20 $SUI target?'

Well,...ot gonna happen this cycle. We've run out of time.",a82457ef023533a67cd68dab57c407b2,2025-11-25T11:58:13+00:00,2025-11-25T17:59:47.213901+00:00,153,t.me/HunterWolves
32918,8568,Fear And Greed Index,b2d54c360cd962886a5f60b1501256e0,2025-11-25T00:30:20+00:00,2025-11-25T17:59:47.035734+00:00,153,t.me/HunterWolves
35352,8579,Crypto Liquidations,5e086946f922477f735ff3a5da825df0,2025-11-26T17:00:25+00:00,2025-11-26T18:21:45.041227+00:00,153,t.me/HunterWolves
35327,8578,"This cycle we’ve had 4 major corrections 

Each ti...hat? 

Stop dreaming about a new ATH. #BTC is done",cf486e347d078d89732b6cd0a71ef4e7,2025-11-26T14:00:15+00:00,2025-11-26T18:21:44.833877+00:00,153,t.me/HunterWolves
35335,8577,"So what's next for $BNB? 

I'm expecting a Dead Ca...n another wave down 📉

🎯 2026 Targets: $640 & $440",166d22e806fb900c83cf0323ec2388fd,2025-11-26T11:15:23+00:00,2025-11-26T18:21:44.952544+00:00,153,t.me/HunterWolves
