id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
23851,45002,"BTC Started Rejecting Exactly As I Told, I Hope You Are Alert After My Update!",ec7176052c2ed991c4ee7851746bd919,2025-11-20T14:55:55+00:00,2025-11-20T15:43:50.678129+00:00,151,t.me/CryptoPlanetCalls
23850,44991,"BTC Currently Trading At The Trendline Resistance Area, It May Get Rejected From Here!!",67d1f52a7ec54f7a6f23f6d9f4838a73,2025-11-20T06:46:09+00:00,2025-11-20T15:43:50.620148+00:00,151,t.me/CryptoPlanetCalls
23855,44977,"Invest Just 5 Min From Your Whole Big Day, Iam Sure It Will Be Helpful For You!",e0a286b5b76867a596066dc88efdc75c,2025-11-19T14:27:49+00:00,2025-11-20T15:43:50.701936+00:00,151,t.me/CryptoPlanetCalls
23861,44976,"BTC Gonna Dump Upto $7X,500 | BTC Update Today

Wa.../2qZ-prM2xco

Don't Forget To Hit The Like Button👍",1d035cef932de4dfc8d92aa667f3fafe,2025-11-19T13:15:27+00:00,2025-11-20T15:43:50.711609+00:00,151,t.me/CryptoPlanetCalls
24658,45005,"🔥🔥JOIN FAST ELON MUSK IS GOING TO PUMP THE DOGE CO...D IN 5 MINUTES🔥🔥💰💰

https://t.me/+c9VaPftpOAIxNzQ0",43d7c0dac367804303bc6eafe64d2d2d,2025-11-20T17:09:35+00:00,2025-11-20T18:01:11.660895+00:00,151,t.me/CryptoPlanetCalls
24788,45027,GOOOOOOOO🚀🚀,23a335eebf6ccebdd263805a2ea56306,2025-11-21T16:04:39+00:00,2025-11-21T16:05:02.766868+00:00,151,t.me/CryptoPlanetCalls
24768,45026,"ALT COIN FUTURES SIGNALS🔥🔥

LINK OPEN FOR 10 SEC O...im fast👇and follow

https://t.me/+c9VaPftpOAIxNzQ0",7c493b4610daedc18de101796fb80151,2025-11-21T14:57:56+00:00,2025-11-21T16:05:02.541411+00:00,151,t.me/CryptoPlanetCalls
24780,45023,BTC Weekly Chart Looks Bullish📈,8103a25e9fd3f469855ce391f7b1f6d2,2025-11-21T12:49:06+00:00,2025-11-21T16:05:02.706183+00:00,151,t.me/CryptoPlanetCalls
24816,45022,"BTC Dumping Hard, It Has Touched $80,600 Area, But...ll My Subscribers Are Safe😉

📌 VIP - @Hamshik_Gade",020f2a2c08899e12feb4c975227e1231,2025-11-21T12:39:05+00:00,2025-11-21T16:05:03.665824+00:00,151,t.me/CryptoPlanetCalls
24813,45009,"BTC Dumped Exactly As I Told, I Hope My Subscriber...s Is How My Analysis Works🕯

📌 VIP - @Hamshik_Gade",66d6da9d4fa70b9aa9e38a5d1f05d210,2025-11-21T03:06:46+00:00,2025-11-21T16:05:03.593861+00:00,151,t.me/CryptoPlanetCalls
26959,45060,GOOOOOO🚀🚀,00e392c1229992d64983997dfd420a82,2025-11-22T17:55:06+00:00,2025-11-22T18:05:33.058292+00:00,151,t.me/CryptoPlanetCalls
26954,45059,"⭐️ Earn While You Sleep ⭐️
📈 Copy Professional Tra... Free Access Link:

https://t.me/+NX1bKjHhrNw3ODU9",f4ad2b80f97e88802f4ad63fdd92abdb,2025-11-22T17:14:32+00:00,2025-11-22T18:05:32.933933+00:00,151,t.me/CryptoPlanetCalls
26955,45056,"BTC Broken Down Symmetrical Traingle And Currently... Is Successful, We Will See Dump Again In The BTC!",4a40948da90dc798d6644154333cbd7e,2025-11-22T13:57:15+00:00,2025-11-22T18:05:32.933037+00:00,151,t.me/CryptoPlanetCalls
26957,45047,BTC Do Or Die Situation!!,57132533de9e60c681d2c344000309bb,2025-11-22T08:23:44+00:00,2025-11-22T18:05:33.011747+00:00,151,t.me/CryptoPlanetCalls
28498,45065,"BTC Has A Trendline Resistance Ahead, Keep An Eye On It!",1f9a28c1b140482c280a4f0e77f77648,2025-11-23T02:57:48+00:00,2025-11-23T17:22:29.561959+00:00,151,t.me/CryptoPlanetCalls
30426,45085,"BTC Broken Down Rising Wedge Pattern, I Suggest You To Use Stop Loss On All Your Long Trades.",7d04ffd1f5fd21195eabe4f57ee8cf73,2025-11-24T07:16:15+00:00,2025-11-24T17:37:32.636307+00:00,151,t.me/CryptoPlanetCalls
30448,45079,"BTC Forming Rising Wedge Pattern, Which Is A Beari...own And Retest Of This Pattern Will Dump BTC Hard.",eb8aaf7d23b8d354165a2b8b7af9e6dd,2025-11-23T18:00:28+00:00,2025-11-24T17:37:33.385593+00:00,151,t.me/CryptoPlanetCalls
